"Name","NumOfPublications"
ACL (tutorial),26
ACL/IJCNLP (2),235
ACL2,119
ACLING,132
ACM,12
ACM Annual Conference,1250
ACM Annual Conference (1),231
ACM Annual Conference (2),246
ACM Conference on Computer Science,1487
ACM DEV,150
ACM DL,205
ACM Great Lakes Symposium on VLSI,2219
ACM Multimedia,8244
ACM Multimedia Workshops,74
ACM National Conference,440
ACM National Meeting,247
ACM Pacific,56
ACM SIGOPS European Workshop,463
ACM Southeast Regional Conference,1928
ACM Symposium on Document Engineering,581
ACM Symposium on User Interface Software and Technology,255
ACM TUR-C,387
ACM Workshop on Role-Based Access Control,82
ACM-GIS,212
ACM-SE,214
ACML,792
ACN,74
ACNS,649
ACNS (1),91
ACNS (2),63
ACNS Workshops,159
ACOMP,185
ACOMPA,35
ACOSIS,60
ACP4IS@AOSD,19
ACPC,151
ACPR,674
ACPR (1),141
ACPR (2),134
ACPR Workshops,24
ACRI,733
ACRIT,40
ACS,151
ACSAC,1667
ACSC,420
ACSCC,1738
ACSD,444
ACSD/Petri Nets Workshops,36
ACSE,172
ACSOS,88
ACSOS-C,134
ACSS (1),100
ACSS (2),59
ACSSC,3247
ACSW,577
ACT,113
ACT4SOC,29
ACTEA,135
ACeS,111
ACiD,34
ADBIS,873
ADBIS (2),127
ADBIS (Local Proceedings),37
ADBIS (Short Papers and Workshops),220
ADBIS (Short Papers),206
ADBIS (Workshops),32
ADBIS Research Communications,68
ADBIS Workshops,43
ADC,507
ADCOG,23
ADCONS,122
ADCS,184
ADF@KDD,14
ADG,46
ADHIP,65
ADHIP (1),193
ADHIP (2),177
ADHIP (3),32
ADHIP (4),15
ADHOC-NOW,556
ADHOC-NOW Workshops,25
ADHOCNETS,344
ADHOCNETS/TRIDENTCOM,24
ADHS,447
ADIS,12
ADKDD@KDD,21
ADL,136
ADMA,922
ADMA (1),236
ADMA (2),221
ADMI,95
ADMS/IMDM@VLDB,10
ADMS@VLDB,94
ADNTIIC,45
ADPRL,153
ADT,405
ADVIS,195
AE-CAI,93
AECIA,134
AEGS,13
AES Conference,16
AFHA,20
AFIPS Fall Joint Computing Conference,489
AFIPS Fall Joint Computing Conference (1),315
AFIPS Fall Joint Computing Conference (2),173
AFIPS National Computer Conference,1509
AFIPS Spring Joint Computing Conference,716
AFL,129
AFM@NFM,9
AFPAC,51
AFRICACRYPT,336
AFRICATEK,56
AFRICOM,28
AFRICOMM,350
AFRICON,1475
AFT,110
AGERE!@SPLASH,90
AGI,531
AGILE,461
AGILE Conf.,285
AGILE PhD School,40
AGOP,152
AGS,31
AGTIVE,157
AH,876
AHFE (1),219
AHFE (10),110
AHFE (11),122
AHFE (12),196
AHFE (13),223
AHFE (14),139
AHFE (15),191
AHFE (16),185
AHFE (17),316
AHFE (18),209
AHFE (19),122
AHFE (2),367
AHFE (20),113
AHFE (21),131
AHFE (22),43
AHFE (23),88
AHFE (24),90
AHFE (26),24
AHFE (3),283
AHFE (4),278
AHFE (5),219
AHFE (6),191
AHFE (7),170
AHFE (8),160
AHFE (9),176
AHPCAI,15
AHS,676
AHs,237
AI,348
AI (1),45
AI (2),39
AI Tomorrow,13
AI&M,132
AI*AAL@AI*IA,35
AI*CH@AI*IA,14
AI*HCI@AI*IA,10
AI*IA,933
AI-Cybersec@SGAI,10
AI4Function@IJCAI,11
AI4I,131
AI4KM@ECAI,11
AI4KM@FedCSIS,11
AI4KM@IJCAI,68
AI4KMES@ECAI,18
AI4KMES@IJCAI,16
AI4SG@AAAI Fall Symposium,26
AI4TV@MM,20
AIABI@AI*IA,32
AIAI,792
AIAI (1),208
AIAI (2),220
AIAI (Workshops),47
AIAI Workshops,219
AIAM,282
AIAM (ACM),671
AIAM (IEEE),277
AIC,106
AICAS,492
AICCC,198
AICCSA,2509
AICI,177
AICI (1),145
AICI (2),138
AICOL,105
AICOL Workshops,16
AICS,350
AICT,292
AICTS,21
AICV,210
AID,100
AIED,1130
AIED (1),264
AIED (2),469
AIED Workshops,159
AIEE,72
AIEE-IRE Computer Conference (Eastern),108
AIEE-IRE Computer Conference (Western),115
AIEMPro @ ACM Multimedia,22
AIES,581
AIFIPP,15
AIGEL,16
AIH@IJCAI (Revised Selected Papers),18
AII,132
AIIDE,762
AIIDE Workshops,127
AIIPCC,176
AIIoT,334
AIKE,213
AIM,2769
AIME,933
AIMLSystems,122
AIMM,13
AIMS,349
AIMSA,607
AINA,2475
AINA (1),479
AINA (2),520
AINA (3),238
AINA Workshops,2277
AINTEC,257
AIPR,1550
AIPS,204
AIR,362
AIRE,16
AIRE@RE,26
AIRO@AI*IA,111
AIRS,673
AIRTC,62
AIRWeb,54
AIS,188
AIS&P (1),41
AIS&P (2),24
AIS-ADM,52
AISC,257
AISC/MKM/Calculemus,126
AISD,8
AISEM,90
AISI,614
AISM,39
AISMC,64
AISS,190
AIST,304
AIST (Supplement),237
AISTATS,4458
AISTECS@HiPEAC,28
AISafety@IJCAI,78
AISec,75
AISec@CCS,152
AISoLA,28
AITM/ISM@FedCSIS,54
AITest,116
AIUCD,19
AIVR,381
AIoTC,17
AIxAS@AI*IA,37
AIxEDU@AI*IA,11
AIxHMI@AI*IA,13
AI³@AI*IA,89
AKBC,106
ALA,18
ALCOSP,254
ALENEX,384
ALGOCLOUD,86
ALGOL 68 Implementation,20
ALGOS,13
ALGOSENSORS,285
ALIA,11
ALIFE,1326
ALP,128
ALP4IoT@iFM,6
ALPIT,208
ALPUK,46
ALR@COLING,43
ALR@IJCNLP,36
ALT,1124
ALTA,404
ALTNLP,22
ALTRUIST@ICSR,11
AMAI@MICCAI,35
AMAST,471
AMBI-SYS,74
AMC,808
AMCIS,10537
AMCIS/SIGeBIZ,40
AMCP,33
AMDO,275
AMEC,61
AMEC/TADA,105
AMEC@AAMAS/TADA@IJCAI,17
AMET,12
AMFG,91
AMIA,11573
AMID@MobileHCI,10
AMIF,50
AMKM,30
AMLTA,379
AMLTS,9
AMMA,40
AMPM@JURIX,18
AMPS,402
AMS,447
AMS-ASL Joint Special Session,14
AMSec@CCS,15
AMT,524
AMT@MoDELS,38
AMTA,416
AMTA (1),38
AMTA (2),92
AMTA (Tutorials),12
AMW,304
AMiRE,58
ANAC@AAMAS,22
ANALCO,196
ANB,11
ANCS,481
AND,51
ANDARE@PACT,12
ANLP,341
ANNES,187
ANNIIP,55
ANNPR,232
ANNSIM,194
ANRW,127
ANSS,210
ANT/EDI40,749
ANT/MobiWIS,289
ANT/SEIT,1019
ANTS,1207
ANTS Conference,275
ANTS Workshop,114
ANZCC,359
AOIS,64
AOM@AOSD,24
AOSD,256
AOSD (Companion),59
AOSE,205
AP-BPM,36
AP2PC,119
APAQS,88
APBC,240
APC 25,51
APCC,1392
APCCAS,2438
APCCM,132
APCHI,306
APCoRISE,196
APF,132
APGV,313
APIA,47
APIT,148
APKC@AsiaCCS,50
APL,1164
APLAS,606
APMAR,42
APMS,697
APMS (1),834
APMS (2),728
APMS (3),210
APMS (4),128
APNOMS,1424
APNet,145
APOCS,39
APPIA-GULP-PRODE,276
APPIS,101
APPROX,68
APPROX-RANDOM,983
APPROX/RANDOM,124
APPSEM,10
APPT,356
APR@ICSE,30
APRES,58
APSCC,865
APSEC,1983
APSEC (1),135
APSEC (2),51
APSEC Workshops,62
APSIPA,2703
APSIPA ASC,738
APSys,243
APVIS,79
APWCS,312
APWG.EU Tech,7
APWeb,925
APWeb Workshops,246
APWeb-WAIM (1),34
APWeb-WAIM (2),35
APWeb/WAIM,163
APWeb/WAIM (1),269
APWeb/WAIM (2),235
APWeb/WAIM (3),73
APWeb/WAIM (4),38
APWeb/WAIM Workshops,215
AQTR,418
ARC,699
ARCADE@CADE,29
ARCH,25
ARCH@ADHS,30
ARCH@CPSWeek,57
ARCS,808
ARCS Workshops,319
AREA@ECAI,24
ARES,2321
AREdu,91
ARIC@SIGSPATIAL,43
ARITH,245
ARK,310
ARM,47
ARM@Middleware,77
ARMS-CC@PODC,45
ARQNL@IJCAR,34
ARRAY@PLDI,90
ARSO,453
ARSPA-WITS,28
ARSPA@IJCAR,12
ARTDB,33
ARTECH,286
ARTEL@EC-TEL,58
ARTEMIS@ACM Multimedia,28
ARTS,59
ARVLSI,105
AReCCa@TABLEAUX,11
ASA/MA,56
ASAIL@ICAIL,41
ASAP,1422
ASAR,68
ASCAT,53
ASCC,2096
ASCM,64
ASD@DATE,17
ASE,2695
ASE @ USENIX Security Symposium,38
ASE Workshops,160
ASHES@CCS,93
ASIACRYPT,685
ASIACRYPT (1),296
ASIACRYPT (2),290
ASIACRYPT (3),160
ASIACRYPT (4),64
ASIAN,396
ASICON,1892
ASIM,223
ASIS SIG/CR Classification Research Workshop,21
ASIST,3531
ASITA,84
ASMS/SPSC,213
ASMTA,245
ASMUS@MICCAI,62
ASONAM,2464
ASP-DAC,3979
ASPLOS,1155
ASPLOS (1),39
ASPLOS (2),143
ASPLOS (3),128
ASRU,1123
ASSE,108
ASSETS,1751
ASSIN@STIL,8
ASSRI,40
ASSS@AsiaCCS,13
ASST,128
AST,190
AST@ICSE,153
ASWC,143
ASWEC,146
ASWSD,23
ASYNC,594
AT,93
ATAC@ISWC,7
ATACCS,85
ATAED/PN4TT@Petri Nets,11
ATAED@Petri Nets,14
ATAED@Petri Nets/ACSD,52
ATAIT,48
ATAL,208
